page_index,section_id,section_type,text_ids,image_ids,reasoning
28,1,activity_open_ended_answer,"text-28-23,text-28-24",,"The page contains a diagram with text explaining the distribution of water on Earth, followed by focus questions. The diagram and its explanation form a cohesive section, while each focus question is a separate activity."
28,2,activity_open_ended_answer,"text-28-23,text-28-25",,"The page contains a diagram with text explaining the distribution of water on Earth, followed by focus questions. The diagram and its explanation form a cohesive section, while each focus question is a separate activity."
17,0,text_only,"text-17-0,text-17-1,text-17-2,text-17-3",,"The page contains a mix of informational text about Earth's features, specifically focusing on volcanoes, earthquakes, and the Pacific Ring of Fire. The text is divided into logical sections based on topics and subtopics, with each section containing related information. The image provided does not directly relate to the text content, so it is not included in the sections."
17,1,text_only,text-17-5,,"The page contains a mix of informational text about Earth's features, specifically focusing on volcanoes, earthquakes, and the Pacific Ring of Fire. The text is divided into logical sections based on topics and subtopics, with each section containing related information. The image provided does not directly relate to the text content, so it is not included in the sections."
17,2,text_only,text-17-6,,"The page contains a mix of informational text about Earth's features, specifically focusing on volcanoes, earthquakes, and the Pacific Ring of Fire. The text is divided into logical sections based on topics and subtopics, with each section containing related information. The image provided does not directly relate to the text content, so it is not included in the sections."
17,3,text_only,"text-17-7,text-17-8,text-17-9,text-17-10,text-17-11",,"The page contains a mix of informational text about Earth's features, specifically focusing on volcanoes, earthquakes, and the Pacific Ring of Fire. The text is divided into logical sections based on topics and subtopics, with each section containing related information. The image provided does not directly relate to the text content, so it is not included in the sections."
17,4,text_only,"text-17-12,text-17-13,text-17-14,text-17-15,text-17-16",,"The page contains a mix of informational text about Earth's features, specifically focusing on volcanoes, earthquakes, and the Pacific Ring of Fire. The text is divided into logical sections based on topics and subtopics, with each section containing related information. The image provided does not directly relate to the text content, so it is not included in the sections."
17,5,text_only,"text-17-17,text-17-18,text-17-19,text-17-20",,"The page contains a mix of informational text about Earth's features, specifically focusing on volcanoes, earthquakes, and the Pacific Ring of Fire. The text is divided into logical sections based on topics and subtopics, with each section containing related information. The image provided does not directly relate to the text content, so it is not included in the sections."
26,0,text_and_images,"text-26-0,text-26-1,text-26-2,text-26-3,text-26-4,text-26-5,text-26-6,text-26-7,text-26-8,text-26-9,text-26-10,text-26-11,text-26-12,text-26-13,text-26-14,text-26-15,text-26-16,text-26-17,text-26-18,text-26-19,text-26-20,text-26-21,text-26-22,text-26-23",img-26-2,"The page contains a chart with detailed explanations about water distribution on Earth, followed by a textual explanation. The chart and its description form a cohesive section, while the textual explanation about water on Earth is another section."
26,1,text_only,"text-26-24,text-26-25,text-26-26,text-26-27",,"The page contains a chart with detailed explanations about water distribution on Earth, followed by a textual explanation. The chart and its description form a cohesive section, while the textual explanation about water on Earth is another section."
