page_index,id,language_code,text,type,section_id,section_type,translation_target
22,text-22-2,en,82 - 9.,math,0.0,activity_open_ended_answer,es
22,text-22-1,en,Diego and Elena drew base-ten diagrams to find the value of,section_text,0.0,activity_open_ended_answer,es
22,text-22-0,en,6.1: Different Ways to Decompose,section_heading,0.0,activity_open_ended_answer,es
22,text-22-3,en,Diego,image_label,0.0,activity_open_ended_answer,es
23,text-23-0,en,2. Tyler used equations to show his thinking.,activity_number,0.0,activity_open_ended_answer,es
23,text-23-1,en,82 - 9,math,0.0,activity_open_ended_answer,es
23,text-23-2,en,82 = 70 + 12,math,0.0,activity_open_ended_answer,es
23,text-23-7,en,Who do you agree with? Explain.,instruction_text,0.0,activity_open_ended_answer,es
23,text-23-6,en,Elena says Tyler’s work matches her diagram.,instruction_text,0.0,activity_open_ended_answer,es
23,text-23-5,en,Diego says Tyler’s work matches his diagram.,instruction_text,0.0,activity_open_ended_answer,es
23,text-23-3,en,12 - 9 = 3,math,0.0,activity_open_ended_answer,es
23,text-23-4,en,70 + 3 = 73,math,0.0,activity_open_ended_answer,es
24,text-24-1,en,Let's subtract with two-digit numbers.,section_text,0.0,text_only,es
24,text-24-3,en,How many do you see? How do you see them?,instruction_text,1.0,activity_open_ended_answer,es
24,text-24-2,en,Warm-up: How Many Do You See: Compose a Ten,section_heading,1.0,activity_open_ended_answer,es
24,text-24-0,en,Lesson 7: Subtract Two Digits,section_heading,0.0,text_only,es
25,text-25-4,en,1.,activity_number,0.0,activity_open_ended_answer,es
25,text-25-3,en,Use blocks if it helps.,instruction_text,1.0,activity_open_ended_answer,es
25,text-25-2,en,Show your thinking.,instruction_text,1.0,activity_open_ended_answer,es
25,text-25-1,en,Find the value of each difference.,instruction_text,1.0,activity_open_ended_answer,es
25,text-25-0,en,7.1: What's the Difference?,section_heading,1.0,activity_open_ended_answer,es
25,text-25-5,en,46 - 28 =,math,0.0,activity_open_ended_answer,es
25,text-25-6,en,______,activity_input_placeholder_text,0.0,activity_open_ended_answer,es
25,text-25-8,en,93 - 54 =,math,1.0,activity_open_ended_answer,es
25,text-25-7,en,2.,activity_number,1.0,activity_open_ended_answer,es
25,text-25-9,en,______,activity_input_placeholder_text,1.0,activity_open_ended_answer,es
26,text-26-11,en,My player now has ____________ tens and ____________ones.,activity_input_placeholder_text,0.0,activity_other,es
26,text-26-5,en,3. Take turns picking a card. Read the card to the group.,instruction_text,0.0,activity_other,es
26,text-26-6,en,4. Listen for your player’s name. Use the blocks to show the change.,instruction_text,0.0,activity_other,es
26,text-26-7,en,5. Explain your thinking to your group.,instruction_text,0.0,activity_other,es
26,text-26-10,en,Equation 2: ________________________________,activity_input_placeholder_text,0.0,activity_other,es
26,text-26-9,en,Equation 1: ________________________________,activity_input_placeholder_text,0.0,activity_other,es
26,text-26-3,en,2. Represent your starting number with base-ten blocks.,instruction_text,0.0,activity_other,es
26,text-26-12,en,Ending number: _____________________________,activity_input_placeholder_text,0.0,activity_other,es
26,text-26-13,en,Share this number with your group.,instruction_text,0.0,activity_other,es
26,text-26-14,en,7. Write an equation to show the sum of the ending numbers in your group.,instruction_text,0.0,activity_other,es
26,text-26-8,en,6. Write an equation to show the new number.,instruction_text,0.0,activity_other,es
26,text-26-2,en,Player name: ________________________________,activity_input_placeholder_text,0.0,activity_other,es
26,text-26-4,en,Starting number: ____________________________,activity_input_placeholder_text,0.0,activity_other,es
26,text-26-0,en,7.2: Use Blocks to Take Away,section_heading,0.0,activity_other,es
26,text-26-1,en,1. Choose a player card. Mix up the other cards and put them face down.,instruction_text,0.0,activity_other,es
27,text-27-7,en,48 - 30,math,1.0,activity_other,es
27,text-27-6,en,38 - 20,math,1.0,activity_other,es
27,text-27-5,en,18 + 20 + 10,math,1.0,activity_other,es
27,text-27-4,en,18 + 10 + 10,math,1.0,activity_other,es
27,text-27-3,en,Find the value of each expression mentally.,instruction_text,1.0,activity_other,es
27,text-27-2,en,Warm-up: Number Talk: Multiples of 10,section_heading,1.0,activity_other,es
27,text-27-1,en,Let's compare different ways to subtract.,instruction_text,0.0,text_only,es
27,text-27-0,en,Lesson 8: Different Ways to Decompose,section_heading,0.0,text_only,es
28,text-28-0,en,8.1: Aren’t You Missing Something?,section_heading,0.0,activity_open_ended_answer,es
28,text-28-1,en,Lin and Clare made base-ten diagrams to find the value of,section_text,0.0,activity_open_ended_answer,es
28,text-28-4,en,Clare,image_label,0.0,activity_open_ended_answer,es
28,text-28-2,en,71 - 56.,math,0.0,activity_open_ended_answer,es
28,text-28-5,en,1. What do you notice about their work? What do you wonder?,instruction_text,0.0,activity_open_ended_answer,es
28,text-28-3,en,Lin,image_label,0.0,activity_open_ended_answer,es
29,text-29-0,en,2. Lin and Clare each wrote equations to show their thinking.,instruction_text,0.0,activity_open_ended_answer,es
29,text-29-12,en,3. How are Lin and Clare’s methods the same? How are they different?,instruction_text,1.0,activity_open_ended_answer,es
29,text-29-11,en,10 + 5 = 15,math,0.0,activity_open_ended_answer,es
29,text-29-10,en,60 - 50 = 10,math,0.0,activity_open_ended_answer,es
29,text-29-9,en,11 - 6 = 5,math,0.0,activity_open_ended_answer,es
29,text-29-8,en,71 = 60 + 11,math,0.0,activity_open_ended_answer,es
29,text-29-6,en,10 + 5 = 15,math,0.0,activity_open_ended_answer,es
29,text-29-5,en,11 - 6 = 5,math,0.0,activity_open_ended_answer,es
29,text-29-1,en,Explain how you know which group of equations matches Lin’s work and which matches Clare’s work.,instruction_text,0.0,activity_open_ended_answer,es
29,text-29-4,en,21 = 10 + 11,math,0.0,activity_open_ended_answer,es
29,text-29-3,en,71 - 50 = 21,math,0.0,activity_open_ended_answer,es
30,text-30-1,en,8.2: Different Ways to Decompose,section_heading,0.0,text_and_images,es
30,text-30-2,en,Andre found the value of,section_text,0.0,text_and_images,es
30,text-30-3,en,65 - 28,math,0.0,text_and_images,es
30,text-30-4,en,He made a base-ten diagram and wrote equations to show his thinking.,section_text,0.0,text_and_images,es
30,text-30-5,en,65 - 28,math,0.0,text_and_images,es
30,text-30-13,en,Show your thinking.,instruction_text,2.0,activity_open_ended_answer,es
30,text-30-7,en,45 = 30 + 15,math,0.0,text_and_images,es
30,text-30-12,en,2. Find the value of each difference.,instruction_text,2.0,activity_open_ended_answer,es
30,text-30-11,en,Explain.,instruction_text,1.0,activity_open_ended_answer,es
30,text-30-10,en,1. Do you think Andre’s method is more like Clare’s or Lin’s method?,instruction_text,1.0,activity_open_ended_answer,es
30,text-30-6,en,65 - 20 = 45,math,0.0,text_and_images,es
30,text-30-8,en,15 - 8 = 7,math,0.0,text_and_images,es
30,text-30-14,en,a. 34 - 18,math,2.0,activity_open_ended_answer,es
30,text-30-9,en,30 + 7 = 37,math,0.0,text_and_images,es
