page_index,id,language_code_orig,type,section_id,section_type,language_code,text,status
12,text-12-25,en,chapter_title,4.0,other,es,UNIDAD 1,success
12,text-12-26,en,chapter_title,4.0,other,es,Hola y bienvenido,success
25,text-25-0,en,book_title,3.0,other,es,#viviendoUruguay1,success
25,text-25-1,en,instruction_text,0.0,activity_open_ended_answer,es,Descripción general de mi casa.,success
25,text-25-2,en,instruction_text,0.0,activity_open_ended_answer,es,Si quieres incluir una imagen.,success
25,text-25-3,en,section_text,1.0,activity_matching,es,Emma está aprendiendo las diferentes partes de la casa en inglés.,success
25,text-25-4,en,section_text,1.0,activity_matching,es,Ella tiene algunas definiciones y los nombres. Haz coincidirlos.,success
25,text-25-5,en,activity_option,1.0,activity_matching,es,En esta habitación hay una nevera y se puede cocinar.,success
25,text-25-6,en,activity_option,1.0,activity_matching,es,En esta habitación hay sofás y puedes ver televisión.,success
25,text-25-7,en,activity_option,1.0,activity_matching,es,En esta habitación hay una cama y tú duermes allí.,success
25,text-25-8,en,activity_option,1.0,activity_matching,es,En esta habitación hay una ducha y un inodoro y puedes cepillarte los dientes.,success
25,text-25-9,en,activity_option,1.0,activity_matching,es,Desde este lugar se puede ver la calle y el barrio.,success
25,text-25-10,en,activity_option,1.0,activity_matching,es,En esta sala hay una mesa y hay sillas y se puede comer allí.,success
25,text-25-11,en,activity_option,1.0,activity_matching,es,sala de estar,success
25,text-25-12,en,activity_option,1.0,activity_matching,es,dormitorio,success
25,text-25-13,en,activity_option,1.0,activity_matching,es,comedor,success
25,text-25-14,en,activity_option,1.0,activity_matching,es,baño,success
25,text-25-15,en,activity_option,1.0,activity_matching,es,cocina,success
25,text-25-16,en,activity_option,1.0,activity_matching,es,balcón,success
25,text-25-17,en,instruction_text,2.0,activity_other,es,Este mapa de burbujas trata sobre el texto de la página anterior.,success
25,text-25-18,en,instruction_text,2.0,activity_other,es,Échale un vistazo.,success
25,text-25-19,en,instruction_text,2.0,activity_other,es,Crea un mapa de burbujas sobre tu casa.,success
18,text-18-0,en,section_heading,0.0,text_and_images,es,Más lenguaje de aula...,success
18,text-18-1,en,image_overlay,0.0,text_and_images,es,"¿Puede esperar un minuto, por favor?",success
18,text-18-2,en,image_overlay,0.0,text_and_images,es,"Escúchame, por favor.",success
18,text-18-3,en,image_overlay,0.0,text_and_images,es,Copiar,success
18,text-18-4,en,image_overlay,0.0,text_and_images,es,"Por favor, preste atención.",success
18,text-18-5,en,image_overlay,1.0,text_and_images,es,¿Puedo escribir la fecha?,success
18,text-18-6,en,image_overlay,1.0,text_and_images,es,"¿Puedes escribir la fecha, por favor?",success
18,text-18-7,en,image_overlay,1.0,text_and_images,es,"¿Puedes venir al tablero, por favor?",success
18,text-18-8,en,image_overlay,1.0,text_and_images,es,¿Has terminado?,success
18,text-18-9,en,image_overlay,1.0,text_and_images,es,Sí. He terminado.,success
18,text-18-10,en,section_heading,2.0,activity_other,es,¡Mimetismo!,success
18,text-18-11,en,instruction_text,2.0,activity_other,es,Utiliza estas frases de lenguaje de aula y las anteriores.,success
18,text-18-12,en,book_title,3.0,other,es,#viviendoUruguay1,success
18,text-18-13,en,chapter_title,3.0,other,es,UNIDAD 1,success
18,text-18-14,en,chapter_title,3.0,other,es,Hola y bienvenido,success
13,text-13-0,en,instruction_text,0.0,activity_open_ended_answer,es,"Hablaste con Nico, Lua y Emma.",success
13,text-13-1,en,instruction_text,0.0,activity_open_ended_answer,es,Escribe un párrafo sobre ti.,success
13,text-13-2,en,instruction_text,0.0,activity_open_ended_answer,es,Usa este gráfico para ayudarte.,success
13,text-13-3,en,section_heading,0.0,activity_open_ended_answer,es,Expresiones,success
13,text-13-4,en,section_heading,0.0,activity_open_ended_answer,es,Preséntate,success
13,text-13-5,en,image_label,0.0,activity_open_ended_answer,es,Saludo,success
13,text-13-6,en,image_label,0.0,activity_open_ended_answer,es,Nombre,success
13,text-13-7,en,image_label,0.0,activity_open_ended_answer,es,Apodo,success
13,text-13-8,en,image_label,0.0,activity_open_ended_answer,es,Cumpleaños,success
13,text-13-9,en,image_label,0.0,activity_open_ended_answer,es,Color favorito,success
13,text-13-10,en,image_label,0.0,activity_open_ended_answer,es,Número favorito,success
13,text-13-11,en,boxed_text,0.0,activity_open_ended_answer,es,¡Hola! / ¡Hola! / ¡Encantado de conocerte! / ¡Hola!,success
13,text-13-12,en,boxed_text,0.0,activity_open_ended_answer,es,Me llamo Emma.,success
13,text-13-13,en,boxed_text,0.0,activity_open_ended_answer,es,Soy Emma.,success
13,text-13-14,en,boxed_text,0.0,activity_open_ended_answer,es,Puedes llamarme Em.,success
13,text-13-15,en,boxed_text,0.0,activity_open_ended_answer,es,"Por favor, llámame Em.",success
13,text-13-16,en,boxed_text,0.0,activity_open_ended_answer,es,Mi cumpleaños es el 19 de octubre.,success
13,text-13-17,en,boxed_text,0.0,activity_open_ended_answer,es,Mi color favorito es rosa.,success
13,text-13-18,en,boxed_text,0.0,activity_open_ended_answer,es,Mi número favorito es catorce.,success
13,text-13-19,en,section_text,1.0,text_only,es,¡Hola! Mi nombre es Nico y mi apellido es Romero.,success
13,text-13-20,en,section_text,1.0,text_only,es,Tengo 13 años y vivo en una ciudad concurrida en Uruguay.,success
13,text-13-21,en,section_text,1.0,text_only,es,Voy a la escuela secundaria #5.,success
13,text-13-22,en,section_text,1.0,text_only,es,Mis padres están divorciados.,success
13,text-13-23,en,section_text,1.0,text_only,es,Mi padre es Ismael y mi madre es Teresa.,success
13,text-13-24,en,section_text,1.0,text_only,es,Mi comida favorita es la pizza.,success
13,text-13-25,en,section_heading,2.0,other,es,UNIDAD 1,success
13,text-13-26,en,section_heading,2.0,other,es,Hola y bienvenido,success
23,text-23-0,en,book_title,1.0,other,es,#viviendoUruguay1,success
23,text-23-1,en,section_heading,0.0,activity_other,es,"Mi casa, mi hogar",success
23,text-23-2,en,image_caption,0.0,activity_other,es,Estas fotos son de algunas casas del vecindario.,success
23,text-23-3,en,instruction_text,0.0,activity_other,es,Mira los diferentes tipos de casas.,success
23,text-23-4,en,image_label,0.0,activity_other,es,A,success
23,text-23-5,en,image_label,0.0,activity_other,es,B,success
23,text-23-6,en,image_label,0.0,activity_other,es,C,success
23,text-23-7,en,image_label,0.0,activity_other,es,D,success
23,text-23-8,en,image_label,0.0,activity_other,es,E,success
23,text-23-9,en,instruction_text,0.0,activity_other,es,Escucha la descripción de las casas y escribe la letra a la que se refiere el hablante.,success
23,text-23-10,en,instruction_text,0.0,activity_other,es,¿A cuál casa se refieren?,success
23,text-23-11,en,activity_number,0.0,activity_other,es,Altavoz 1,success
23,text-23-12,en,activity_number,0.0,activity_other,es,Orador 2,success
23,text-23-13,en,activity_number,0.0,activity_other,es,Altavoz 3,success
23,text-23-14,en,activity_number,0.0,activity_other,es,Orador 4,success
23,text-23-15,en,instruction_text,0.0,activity_other,es,Lee y escucha para comprobar tus respuestas.,success
11,text-11-0,en,section_heading,0.0,text_and_images,es,Cuando conoces a una persona.,success
11,text-11-1,en,standalone_text,0.0,text_and_images,es,¡Hola! ¿Cómo estás?,success
11,text-11-2,en,standalone_text,0.0,text_and_images,es,"Estoy bien, ¿cómo estás tú?",success
11,text-11-3,en,standalone_text,0.0,text_and_images,es,Estoy maravilloso. ¡Gracias!,success
11,text-11-4,en,section_text,1.0,activity_fill_in_the_blank,es,Nico y su compañero de clase Luis están en la puerta de la escuela.,success
11,text-11-5,en,instruction_text,1.0,activity_fill_in_the_blank,es,Mira su conversación y complétala con las palabras del recuadro.,success
11,text-11-6,en,section_text,1.0,activity_fill_in_the_blank,es,Luis:,success
11,text-11-7,en,activity_input_placeholder_text,1.0,activity_fill_in_the_blank,es,!,success
11,text-11-8,en,section_text,1.0,activity_fill_in_the_blank,es,Nico,success
11,text-11-9,en,activity_input_placeholder_text,1.0,activity_fill_in_the_blank,es,¡Buenos días! ¿Cómo estás?,success
11,text-11-10,en,section_text,1.0,activity_fill_in_the_blank,es,Luis:,success
11,text-11-11,en,activity_input_placeholder_text,1.0,activity_fill_in_the_blank,es,"Estoy bien, gracias. ¿Cómo estás?",success
11,text-11-12,en,activity_input_placeholder_text,1.0,activity_fill_in_the_blank,es,¿?,success
11,text-11-13,en,section_text,1.0,activity_fill_in_the_blank,es,Nico:,success
11,text-11-14,en,activity_input_placeholder_text,1.0,activity_fill_in_the_blank,es,!,success
11,text-11-15,en,activity_input_placeholder_text,1.0,activity_fill_in_the_blank,es,¿Es esta niña pequeña?,success
11,text-11-16,en,section_text,1.0,activity_fill_in_the_blank,es,Luis,success
11,text-11-17,en,activity_input_placeholder_text,1.0,activity_fill_in_the_blank,es,es mi hermana.,success
11,text-11-18,en,activity_option,1.0,activity_fill_in_the_blank,es,hola,success
11,text-11-19,en,activity_option,1.0,activity_fill_in_the_blank,es,muy bien,success
11,text-11-20,en,activity_option,1.0,activity_fill_in_the_blank,es,quién,success
11,text-11-21,en,activity_option,1.0,activity_fill_in_the_blank,es,bueno,success
11,text-11-22,en,activity_option,1.0,activity_fill_in_the_blank,es,ella,success
11,text-11-23,en,activity_option,1.0,activity_fill_in_the_blank,es,Yo,success
11,text-11-24,en,activity_option,1.0,activity_fill_in_the_blank,es,tú,success
11,text-11-25,en,section_text,2.0,text_and_images,es,Hoy es el primer día de clases; el maestro está pasando lista.,success
11,text-11-26,en,image_caption,3.0,other,es,Foto por Aldo Rodriguez,success
11,text-11-27,en,chapter_title,3.0,other,es,UNIDAD 1,success
11,text-11-28,en,chapter_title,3.0,other,es,Hola y bienvenido,success
20,text-20-0,en,section_heading,0.0,activity_labeling,es,Las emociones se pueden percibir en tu rostro...,success
20,text-20-1,en,instruction_text,0.0,activity_labeling,es,¿Cuáles son las diferentes partes de la cabeza?,success
20,text-20-2,en,image_label,0.0,activity_labeling,es,boca,success
20,text-20-3,en,image_label,0.0,activity_labeling,es,nariz,success
20,text-20-4,en,image_label,0.0,activity_labeling,es,dientes,success
20,text-20-5,en,image_label,0.0,activity_labeling,es,ojos,success
20,text-20-6,en,image_label,0.0,activity_labeling,es,cabello,success
20,text-20-7,en,image_label,0.0,activity_labeling,es,cejas,success
20,text-20-8,en,standalone_text,0.0,activity_labeling,es,Tengo ojos (marrones).,success
20,text-20-9,en,standalone_text,0.0,activity_labeling,es,Tengo la boca pequeña/grande.,success
20,text-20-10,en,standalone_text,0.0,activity_labeling,es,Tengo dientes blancos.,success
20,text-20-11,en,standalone_text,0.0,activity_labeling,es,Tengo el pelo corto/largo.,success
20,text-20-12,en,standalone_text,0.0,activity_labeling,es,Tengo cejas pobladas/delgadas.,success
20,text-20-13,en,standalone_text,0.0,activity_labeling,es,Tengo una nariz pequeña/grande.,success
20,text-20-14,en,section_heading,1.0,activity_open_ended_answer,es,Adivina los personajes...,success
20,text-20-15,en,instruction_text,1.0,activity_open_ended_answer,es,Tenemos dos nuevos compañeros de clase en la clase.,success
20,text-20-16,en,instruction_text,1.0,activity_open_ended_answer,es,Mira las descripciones que escribimos de Caroline y Michael.,success
20,text-20-17,en,instruction_text,1.0,activity_open_ended_answer,es,Dibuja sus caras.,success
20,text-20-18,en,boxed_text,2.0,other,es,S.O.S. CAJA,success
20,text-20-19,en,chapter_title,2.0,other,es,UNIDAD 1,success
20,text-20-20,en,chapter_title,2.0,other,es,Hola y bienvenido,success
26,text-26-1,en,instruction_text,0.0,activity_open_ended_answer,es,Dibuja el interior de tu casa.,success
26,text-26-2,en,instruction_text,0.0,activity_open_ended_answer,es,Descríbelo usando las palabras de los ejercicios anteriores y las palabras del recuadro.,success
26,text-26-3,en,instruction_text,1.0,activity_open_ended_answer,es,Describe tu casa.,success
26,text-26-4,en,instruction_text,1.0,activity_open_ended_answer,es,Usa el vocabulario de la unidad y de la Caja S.O.S.,success
26,text-26-5,en,standalone_text,2.0,other,es,Rúbricas para actividades de escritura al final de este libro.,success
26,text-26-6,en,image_label,2.0,other,es,S.O.S. CAJA,success
26,text-26-20,en,chapter_title,3.0,other,es,UNIDAD 2,success
26,text-26-21,en,chapter_title,3.0,other,es,me mismo,success
27,text-27-0,en,book_title,2.0,other,es,#livingUruguay1,success
27,text-27-1,en,section_heading,0.0,activity_other,es,diccionario ilustrado,success
27,text-27-2,en,activity_number,0.0,activity_other,es,1,success
27,text-27-3,en,instruction_text,0.0,activity_other,es,Toma todas las palabras de la Caja S.O.S. y busca imágenes de cada lugar.,success
27,text-27-4,en,activity_number,0.0,activity_other,es,2,success
27,text-27-5,en,instruction_text,0.0,activity_other,es,Pega las imágenes y etiquétalas.,success
27,text-27-6,en,activity_number,0.0,activity_other,es,3,success
27,text-27-7,en,instruction_text,0.0,activity_other,es,Haz esto regularmente cuando aprendas nuevas palabras.,success
27,text-27-8,en,image_label,0.0,activity_other,es,sala de estar,success
27,text-27-9,en,section_heading,1.0,activity_matching,es,Mi dormitorio es mi mundo,success
27,text-27-10,en,section_text,1.0,activity_matching,es,Me encanta mi dormitorio.,success
27,text-27-11,en,section_text,1.0,activity_matching,es,Tengo mi propia habitación.,success
27,text-27-12,en,section_text,1.0,activity_matching,es,Es grande y cómodo.,success
27,text-27-13,en,section_text,1.0,activity_matching,es,Las paredes son blancas.,success
27,text-27-14,en,section_text,1.0,activity_matching,es,Hay una cama doble en él.,success
27,text-27-15,en,section_text,1.0,activity_matching,es,En mi dormitorio hay más objetos.,success
27,text-27-16,en,instruction_text,1.0,activity_matching,es,Vincula el objeto con su nombre.,success
27,text-27-17,en,image_label,1.0,activity_matching,es,A,success
27,text-27-18,en,image_label,1.0,activity_matching,es,B,success
27,text-27-19,en,image_label,1.0,activity_matching,es,C,success
27,text-27-20,en,image_label,1.0,activity_matching,es,D,success
27,text-27-21,en,image_label,1.0,activity_matching,es,E,success
27,text-27-22,en,image_label,1.0,activity_matching,es,F,success
27,text-27-23,en,image_label,1.0,activity_matching,es,G,success
27,text-27-24,en,image_label,1.0,activity_matching,es,H,success
27,text-27-25,en,image_label,1.0,activity_matching,es,Yo,success
27,text-27-26,en,image_label,1.0,activity_matching,es,J,success
30,text-30-0,en,book_title,3.0,other,es,#livingUruguay1,success
30,text-30-1,en,section_text,0.0,activity_true_false,es,Mi padre está enojado.,success
30,text-30-2,en,section_text,0.0,activity_true_false,es,El dormitorio de mi hermana está muy desordenado.,success
30,text-30-3,en,section_text,0.0,activity_true_false,es,Es difícil para ella encontrar las cosas.,success
30,text-30-4,en,instruction_text,0.0,activity_true_false,es,¿Están estas cosas en la imagen?,success
30,text-30-5,en,instruction_text,0.0,activity_true_false,es,Mira la imagen y verifica si las oraciones son correctas.,success
30,text-30-6,en,activity_option,0.0,activity_true_false,es,Hay un cuaderno en el escritorio.,success
30,text-30-7,en,activity_option,0.0,activity_true_false,es,¡CORRECTO!,success
30,text-30-8,en,activity_option,0.0,activity_true_false,es,Hay un libro negro debajo de otro libro.,success
30,text-30-9,en,activity_option,0.0,activity_true_false,es,¡CORRECTO!,success
30,text-30-10,en,activity_option,0.0,activity_true_false,es,Hay un contenedor de papel entre el escritorio y la cama.,success
