page_index,id,origin_language_code,language_code,text,reasoning
17,text-17-2,es,en,"One day, Elena went to her grandfather's house.","The sentence describes an action in the past involving Elena and a location, which needs to be translated from Spanish to English while ensuring all nouns and actions are retained accurately in the target language."
17,text-17-7,es,en,The grandfather taught him a secret.,"The text contains a subject, 'el abuelo', and an action, 'enseñó un secreto.' All words need to be translated into English."
17,text-17-5,es,en,Why don't you run against your shadow?,Translate the question 'Why don't you run against your shadow?' while maintaining the context of the original Spanish text into English.
17,text-17-9,es,en,16,"The text '16' seems to be a numeral and should be understood universally in translation, remaining consistent across languages."
17,text-17-6,es,en,"But he did not always win, so he grumbled:",This is a simple sentence with past tense verbs and a coordinating conjunction. It translates directly to English maintaining the meaning and structure of the original sentence.
17,text-17-1,es,en,Complete the balloons according to the story.,The task is to translate the instruction to complete the balloons according to the story from Spanish to English.
17,text-17-4,es,en,"I'm bored, I have no one to run with.","The sentence is simple and straightforward, expressing the speaker's feeling of boredom and the fact that they have no one to run with. The translation should accurately reflect these sentiments in English."
17,text-17-8,es,en,Now you are ready to conquer!,"The provided Spanish sentence ""¡Ahora sí estás lista para vencer!"" translates directly into English. The structure of the sentence implies readiness and confidence to succeed, where 'lista para vencer' means 'ready to conquer.'"
17,text-17-3,es,en,The grandfather gave him an idea.,The sentence 'El abuelo le dio una idea.' consists of simple words that directly translate from Spanish to English. Each word has a corresponding English term that keeps the sentence's meaning intact.
17,text-17-0,es,en,WHAT DID THEY SAY?,The text consists of a question in Spanish which asks 'What did they say?'. The question needs to be translated accurately into English following the same question format.
18,text-18-0,es,en,Complete the summary of the story.,There is a straightforward sentence asking to complete a summary of a story. It should be translated entirely to English without altering the meaning or context.
19,text-19-0,es,en,Grandfather Enrique,"The phrase 'El abuelo Enrique' refers to a person's name and familial title. 'Abuelo' means 'grandfather' and 'Enrique' is a proper noun (a name), which remains unchanged. Therefore, it should be translated as 'Grandfather Enrique'."
19,text-19-2,es,en,Write the sentences you have formed.,The instruction is asking to write the sentences that have been formed. It is an imperative sentence and can be translated directly into English while maintaining the intent of the original sentence.
18,text-18-2,es,en,"One day, Elena had to stay overnight at her grandfather Enrique's house.",The sentence describes a scenario where Elena stays overnight at her grandfather Enrique's house. Proper nouns such as 'Elena' and 'Enrique' should remain unchanged in the translation.
18,text-18-1,es,en,"Read the story again, it might help you.","The sentence instructs someone to read the story again, which could be helpful. The translation should convey the same suggestion to read the story again, maintaining the purpose of the action being helpful."
19,text-19-1,es,en,Connect with an arrow the expressions from each column to form statements.,"The sentence instructs to connect expressions from each column using an arrow to form statements. The task is straightforward and involves physical action, not translation of math symbols or units, so it is translated as it is."
19,text-19-3,es,en,Number them considering the order of events in history.,The text is a simple sentence instructing someone to number events based on their order in history. It requires a straightforward translation to English.
18,text-18-3,es,en,"In the grandfather's house,","This phrase is a simple reference to a location, specifically ""the grandfather's house."" It does not contain any math or units that require special handling."
19,text-19-5,es,en,cooked,"The word 'cocinó' is the past tense of the verb 'cocinar', which means 'to cook'. In English, this translates to 'cooked'."
18,text-18-8,es,en,17,"The input is a number, and numbers do not change between languages."
18,text-18-4,es,en,The grandfather gave him an idea so as not to get bored.,"The sentence ""El abuelo le dio una idea para no aburrirse"" means that the grandfather gave a suggestion on how not to get bored. Each word in the sentence, including nouns, should be translated into English for an accurate translation."
19,text-19-4,es,en,Elena,"The word 'Elena' is a proper noun, which is a name, and should remain the same in translation."
19,text-19-6,es,en,the secret to overcoming the shadows.,"The phrase 'el secreto para vencer a las sombras' is a straightforward statement in Spanish that translates directly into English. The noun 'las sombras' translates to 'the shadows', and the structure of the sentence is preserved in the translation."
19,text-19-7,es,en,ran,"The word 'corrió' is a verb in Spanish. It is the past tense of the verb 'correr', which means 'to run'. In English, it translates to 'ran'."
18,text-18-5,es,en,Elena ran against the shadow,"The sentence is describing an action involving a person named 'Elena'. The verb 'corrió' indicates past tense and translates to 'ran'. The noun 'sombra' translates to 'shadow'. There is no additional context indicating a need for idiomatic translation, so a direct translation of the sentence is appropriate."
19,text-19-8,es,en,an immense potato tortilla.,"The phrase 'una inmensa tortilla de papas' is a straightforward sentence with common vocabulary: 'una' translates to 'a', 'inmensa' to 'immense', 'tortilla' to 'tortilla' as it is a recognizable noun in English, and 'de papas' to 'of potatoes'."
18,text-18-6,es,en,"After a while, the grandfather, upon seeing that she was in a bad mood,",The sentence involves a time expression and verbs that describe the actions of the grandfather. It should be translated keeping the context and meaning in mind.
18,text-18-7,es,en,"As Elena already knew the great secret to defeating the shadow, she never lost again, because","The sentence describes a secret and its effect on Elena, which should be translated to maintain the same meaning in English. The structure and meaning should be preserved while converting the words to English."
19,text-19-9,es,en,learned,The word 'aprendió' is in the past tense and requires translation to maintain the correct temporal context in English.
19,text-19-11,es,en,Grandfather Enrique,"The phrase 'El abuelo Enrique' contains a noun and a proper noun, both of which should be translated as they are part of a person's name and title in English as well."
19,text-19-10,es,en,faster than the hares in the field.,The text provided is an expression comparing speed using the metaphor of hares in the field. All parts of the text including nouns should be translated to English.
19,text-19-12,es,en,counted/told,"The word 'contó' in Spanish is the past tense of the verb 'contar', which means 'to count' or 'to tell'. Hence, it translates to 'counted' or 'told' in English."
19,text-19-13,es,en,to grandfather Enrique.,"To translate this Spanish phrase to English, I need to recognize that 'abuelo' translates to 'grandfather' and 'Enrique' is a proper noun which generally remains the same in translation. The phrase is addressing 'grandfather Enrique.'"
19,text-19-16,es,en,Write in italics.,"The instruction is to write in italics, and the translation should convey that instruction accurately in English."
19,text-19-19,es,en,18,The number '18' does not need translation as it is a numerical value.
20,text-20-0,es,en,Read the text of each notebook where an episode of the story is presented.,"I need to translate the Spanish sentence into English, ensuring all parts of speech are correctly converted."
19,text-19-14,es,en,visited,"The word 'visitó' is the past tense of 'visitar' in Spanish, which means 'to visit.' Therefore, the translation for 'visitó' would be 'visited' in English, as it aligns with the past tense form used in the original language."
19,text-19-15,es,en,eighty-seven victories.,The phrase 'ochenta y siete victorias' is composed of the words 'ochenta y siete' which translates to 'eighty-seven' and 'victorias' which means 'victories' in English.
20,text-20-1,es,en,Choose the statement on the right that summarizes it best.,The sentence is a request to choose a statement from the right that summarizes the content best. The task is to provide an English translation of this sentence.
20,text-20-6,es,en,The grandfather challenged her to race against her shadow.,"The sentence is a straightforward statement with a subject, an action, and an object. All elements can be directly translated from Spanish to English while maintaining the original meaning."
20,text-20-4,es,en,She was very upset.,The sentence 'Ella estaba muy disgustada.' is a straightforward statement about a person's emotional state and should be translated directly. The noun 'Ella' translates to 'She' and 'disgustada' to 'displeased' or 'upset'.
19,text-19-17,es,en,It can be useful to you.,The sentence 'Te puede ser útil' translates to 'It can be useful to you.' in English. The sentence structure and meaning are directly translated without any complex grammar or vocabulary changes.
20,text-20-2,es,en,Write a statement that summarizes the episode.,The text provided is in Spanish and needs to be translated into English. The word 'enunciado' translates to 'statement' and 'episodio' to 'episode'. The action in the sentence is to 'write a statement' that summarizes the episode.
20,text-20-8,es,en,"Sometimes I lost, and other times I won.",The sentence describes alternating outcomes of losing and winning. These verbs and conjunctions are standard in both languages.
20,text-20-5,es,en,"At her grandfather's house, Elena had no one to race against and got bored.","The sentence is an observation about Elena's experience in her grandfather's house. Elena is a name and should not be translated, while other words should be translated into English."
20,text-20-3,es,en,"A girl named Elena, who loved to play races, was taken by her parents to her grandfather's house.","The text is straightforward, mentioning a girl named Elena who loves racing and is taken to her grandfather's house by her parents. Proper nouns and the context are maintained in the translation."
16,text-16-0,es,en,This is Elena.,"The given text is an introduction of a person named 'Elena'. The sentence is straightforward, stating 'This is Elena'. The noun 'Elena' is a proper noun and remains unchanged in the translation."
19,text-19-18,es,en,Grandfather Enrique counted eighty-seven victories.,"The sentence 'El abuelo Enrique contó ochenta y siete victorias.' describes a person, 'abuelo Enrique', and their action of counting a specific number of victories, which is a noun and a number. I will closely translate this sentence by maintaining the names and numbers as they are and providing the equivalent English words for the rest of the sentence."
20,text-20-9,es,en,The grandfather taught him a secret to defeat the shadow.,"The sentence consists of a subject 'El abuelo' which translates to 'The grandfather', and the rest of the sentence is a description of an action 'le enseñó un secreto para vencer a la sombra', which translates to 'taught him a secret to defeat the shadow'."
20,text-20-7,es,en,Elena accepted the challenge.,"The sentence 'Elena aceptó el desafío.' is a simple past tense sentence where 'Elena' is a proper noun and 'desafío' means 'challenge'. The verb 'aceptó' is the past form of 'accept'. Hence, the sentence should be translated directly maintaining the proper noun and the verb in the past tense."
20,text-20-10,es,en,Elena learned it by heart.,The sentence is a simple statement with a subject (Elena) and a verb (learned) followed by an object (it by heart). Each component should be translated into the corresponding English equivalent.
20,text-20-11,es,en,The arrival of Elena at the grandfather's house.,"The text is describing the arrival of a person named Elena, making her name a proper noun that should not be translated. The rest of the phrase should be translated into English as it describes an event or action."
16,text-16-1,es,en,Complete the empty boxes by adding information about her.,"The task is to translate the given Spanish sentence into English, focusing on accurately conveying the meaning and intent while maintaining proper grammar and structure."
16,text-16-3,es,en,A heart that beats fast when running.,The sentence describes the physical reaction of a heart beating faster when a person runs. The Spanish terms need to be translated accurately into English while maintaining the same meaning.
20,text-20-13,es,en,Elena's costume.,"The text contains a noun, which is 'Elena's costume'. The noun should be translated to 'Elena's costume' in English."
20,text-20-12,es,en,Elena's trip with her parents.,The phrase 'El viaje de Elena con sus padres' consists of nouns and a preposition that should be translated directly into English as it stands. 'Elena' is a proper noun which remains unchanged. The translation should faithfully represent the original meaning.
16,text-16-2,es,en,Hair tousled by running.,"The phrase 'Melena despeinada por correr' is in Spanish and means 'Hair tousled by running' in English. 'Melena' translates to 'hair', 'despeinada' translates to 'tousled', 'por' means 'by', and 'correr' translates to 'running'."
16,text-16-5,es,en,Injured knees.,"This is a phrase in Spanish where 'Rodillas' means 'Knees' and 'lastimadas' means 'injured'. Thus, the translation should convert these words to their English counterparts."
16,text-16-4,es,en,Very fast legs.,"The Spanish phrase 'Piernas muy veloces' needs to be translated to English, ensuring the adjective is properly placed with the noun in English."
16,text-16-6,es,en,Champions,"'Championes' is derived from a dialect spelling in Spanish, generally equivalent to 'champions' in English. The meaning is retained."
20,text-20-16,es,en,Elena's races.,"The phrase ""Las carreras de Elena"" contains a noun, which is 'Elena's races', and it should be translated into English maintaining the possessive form for 'Elena'."
20,text-20-15,es,en,Elena's boredom.,This is a noun phrase expressing a concept of boredom related to a person named Elena. Nouns like 'Elena' are typically transliterated directly into the target language without translation. The rest of the phrase should be translated normally.
20,text-20-18,es,en,The grandfather's challenge.,The phrase 'El desafío del abuelo' contains the noun 'abuelo' which should be translated to 'grandfather'. The word 'desafío' translates to 'challenge'.
16,text-16-8,es,en,Elena is a girl who lives with her family.,"The sentence describes a girl named Elena who lives with her family, and all words are straightforward to translate into English."
20,text-20-14,es,en,Elena's games.,"The phrase 'Los juegos de Elena' is a noun phrase in Spanish meaning 'Elena's games.' To accurately translate, we consider 'Los juegos' as 'The games' and 'de Elena' as 'of Elena', which together convey possession in English as 'Elena's games'."
16,text-16-9,es,en,Has,The word 'Tiene' is a verb in Spanish which means 'has' in English. Translating verbs accurately is crucial to maintain the meaning of the sentence.
20,text-20-19,es,en,Elena's victories.,"The text is a simple phrase consisting of a noun and a possessive indicator. 'Victorias' is a noun meaning 'victories', and 'Elena' is a proper noun that remains the same in English, as it is a name."
20,text-20-17,es,en,Elena's anger.,"The text is the title of a story or description related to 'Elena's anger'. Both 'Elena' and 'anger' need to be translated to English. Therefore, 'enfado' translates to 'anger', and 'Elena' is likely a proper noun and remains the same."
16,text-16-10,es,en,Use,"The word 'Usa' in Spanish can have multiple meanings, including 'use'. In this context, 'Usa' is a verb and should be translated accordingly to English."
16,text-16-7,es,en,Write a portrait of Elena using the information from the outline and other data from the story.,"The task is to translate the Spanish instruction given, which asks for writing a portrait of Elena using information from the outline and other story data. The task is specific to translating this text, not generating or acting upon it."
27,text-27-0,es,en,"Read these notes with definitions of some words that appear in the article: ""The light and the shadow.""","The task is to translate the Spanish sentence into English. Each word will be translated directly to its English counterpart. Nouns such as 'luz' and 'sombra' should be translated into 'light' and 'shadow', respectively. The clause structure should be retained while ensuring that the translated sentence is grammatically correct in English."
27,text-27-3,es,en,Created by man.,The phrase 'Creado por el hombre' can be directly translated into English as it is a simple phrase indicating something made or created by humans.
27,text-27-1,es,en,Insert them into the article fragment to expand the information.,The phrase 'Insértalos en el fragmento del artículo para ampliar la información' means inserting 'them' into 'the article fragment' to expand or enhance 'the information'. The context suggests modifying a text to make it more informative.
16,text-16-13,es,en,15,"The provided text is a number and numbers are universal, so no translation is needed."
27,text-27-4,es,en,Star,The word 'Estrella' is a noun in Spanish meaning 'Star' in English and should be translated accordingly.
16,text-16-11,es,en,When he/she/it runs,"The phrase 'Cuando corre' is a simple sentence in Spanish where 'cuando' means 'when' and 'corre' is the third-person singular form of the verb 'correr', which means 'to run'."
20,text-20-20,es,en,19,The input is a numerical value and does not require any translation or modification.
16,text-16-12,es,en,likes it,"The phrase 'Le gusta' is Spanish, which implies that someone likes something. In English, it translates to 'likes it' or 'he/she/they like'."
29,text-29-0,es,en,The computer was having problems and made some errors.,The text refers to a computer experiencing problems and making some mistakes. All words should be translated into English accurately.
27,text-27-2,es,en,Artificial,The word 'Artificial' is a noun and should be translated to the target language.
29,text-29-1,es,en,Make the corrections.,"The task is to translate the simple phrase from Spanish to English, which should focus on translating the verb and the associated noun correctly without altering the meaning."
27,text-27-6,es,en,Luminous,The word 'Luminoso' in Spanish is an adjective meaning 'bright' or 'luminous' in English.
27,text-27-5,es,en,Celestial body that shines with its own light.,"The phrase refers to celestial objects that emit their own light. In English, this concept is best described as 'Celestial body that shines with its own light.'"
29,text-29-2,es,en,Make sure you have fulfilled:,"The phrase 'Controla que hayas cumplido con' is an imperative sentence which is instructing someone to ensure or check that something has been completed. Thus, it should be translated accordingly."
29,text-29-5,es,en,Place the punctuation marks.,The Spanish phrase 'colocar los signos de puntuación' translates directly to English as 'place the punctuation marks'.
29,text-29-6,es,en,Instructions for making shadow puppets,"The phrase 'sombras chinescas' refers to 'shadow puppetry' or 'shadow play' in English, which is a form of entertainment. The sentence should be translated fully into English."
29,text-29-4,es,en,"capitalize the beginning of sentences and proper nouns,","The instruction is to capitalize the beginning of sentences and proper nouns. In English, it is a common rule to capitalize the first letter of sentences and proper nouns, so this translates directly. However, the instruction itself does not need to be followed or acted upon, but simply translated."
27,text-27-7,es,en,Body that emits light.,"The text provided is describing something in Spanish, specifically 'Cuerpo que emite luz' which directly translates to 'Body that emits light'."
27,text-27-9,es,en,It is the natural source of light and heat for Earth.,The sentence refers to a natural object that provides light and heat to the Earth. The noun should also be translated to ensure the meaning is retained in English.
27,text-27-12,es,en,We can see them because they receive it from a luminous body.,"The sentence states that visibility of 'them' is due to receiving light from a luminous body. This involves referring to visibility and light which are scientific concepts. Hence, it should translate accurately to convey the cause-and-effect relationship informed by these concepts."
29,text-29-9,es,en,"The closer you are to the light, the bigger the shadows will be.",The sentence is an expression and should be translated entirely into English to retain its meaning.
29,text-29-3,es,en,Separate the words that appear together.,"The Spanish text, 'separar las palabras que aparecen juntas,' is a straightforward instruction to separate words that appear together. The word 'separar' means 'to separate,' 'las palabras' means 'the words,' 'que' means 'that,' 'aparecen' means 'appear,' and 'juntas' means 'together.' The translation in English for this sentence would be 'separate the words that appear together.'"
27,text-27-8,es,en,The Sun is a star.,The sentence is a simple declarative statement identifying 'El Sol' as a star. Both 'El Sol' and 'estrella' are nouns in Spanish that should be translated to 'The Sun' and 'star' respectively in English.
29,text-29-8,es,en,"place your hands 1 meter from the light and 1 and a half meters from the wall, approximately",The sentence instructs to place the hands at certain distances from a light source and a wall. The measurement units like 'metro' and phrases like 'metro y medio' should be translated accurately to English. Ensure clarity in spatial instructions too.
29,text-29-11,es,en,Write the corrected text here.,"The text is a simple sentence asking to 'write the corrected text here', so translating involves using equivalent English terms for each part of the sentence."
27,text-27-15,es,en,"The Sun is a star, that is, a celestial body that shines with its own light.","The sentence describes what the Sun is, using simple declarative language. Each part of the sentence needs to be translated accurately to maintain the original meaning, especially nouns like 'el Sol' and 'estrella' which have direct equivalents in English."
27,text-27-11,es,en,Most objects that we see do not have their own light.,"When translating, the text 'La mayoría de objetos que vemos no tienen luz propia' contains common nouns and expressions, which should be translated into the equivalent English-language nouns and expressions. 'La mayoría' translates to 'most,' 'de' translates to 'of,' 'objetos' translates to 'objects,' 'que vemos' translates to 'that we see,' 'no tienen' translates to 'do not have,' and 'luz propia' translates to 'their own light.' Thus, ensuring the full sentence makes sense in English with proper grammatical structure."
27,text-27-18,es,en,26,"The input is a numerical value that does not require any translation, just maintained as is."
29,text-29-7,es,en,"turn off all the lights in the room, turn on a lamp, and place it so that it illuminates a bare wall","The text is a set of instructions regarding the lighting arrangement in a room. It involves turning off lights, turning on a lamp, and positioning it. These actions do not involve any math or units. Thus, a straightforward translation is required for all the words."
24,text-24-0,es,en,Write the corresponding pronoun on the dotted line.,The text is asking to write the corresponding pronoun on a dotted line. This instruction can be translated directly into English.
27,text-27-17,es,en,Check the punctuation marks.,"The phrase 'Revisa los signos de puntuación' is a request to check the punctuation marks. It is a straightforward sentence in Spanish, and its direct translation to English captures the intended meaning accurately."
27,text-27-14,es,en,This task you can do in your class notebook.,"The sentence provided is in Spanish. Each word can be directly translated into English without losing the meaning. 'Esta tarea' translates to 'This task', 'puedes realizarla' translates to 'you can do it', 'en tu cuaderno de clase' translates to 'in your class notebook'."
27,text-27-13,es,en,Rewrite the previous text including the information from the notebooks.,This text indicates an instruction to rewrite a previous text by including information from some notebooks. The task involves recognizing the action 'reescribe' which translates to 'rewrite' and identifying all components that should be translated into English without interpreting or altering the content based on instructions.
29,text-29-12,es,en,28,The number '28' is a mathematical value and should not be translated into another language. It remains '28' in English as well.
24,text-24-2,es,en,Ran against,The phrase 'Corría contra' is in Spanish and it consists of a verb and a preposition. It should be translated directly into English with equivalent words.
24,text-24-1,es,en,Elena loved to run races.,"The sentence is straightforward, expressing Elena's fondness for running races. All elements of the sentence are translatable into English, preserving the meaning."
27,text-27-16,es,en,"Use parentheses or connectors (that is, in other words) to expand the information.","The sentence provides instructions on using parentheses or connectors to expand information. It includes two Spanish phrases for connectors, 'es decir' and 'o sea,' which need to be recognized and appropriately translated into English as 'that is' or 'in other words.' This ensures the translation reflects the instructional nature of the original text."
24,text-24-6,es,en,dog.,The word 'perro' is a noun in Spanish and should be translated to English.
24,text-24-3,es,en,Brother crawling.,The sentence is in Spanish and needs to be translated into English by translating each word maintaining the grammatical structure.
24,text-24-5,es,en,I was also running against,"The phrase 'También corría contra' likely refers to a person or subject running against something or someone, potentially in a race or competition. Each word translates directly into English with their basic meanings preserved."
24,text-24-7,es,en,I lost!!,"The text 'Perdí' is an exclamation expressing a state of loss, and should be translated to an equivalent expression in English."
24,text-24-9,es,en,turtle,The word 'tortuga' is a noun meaning 'turtle' in English and should be translated as such.
24,text-24-12,es,en,Dad.,The word 'papá' is a Spanish noun meaning 'dad' in English and should be translated accordingly.
28,text-28-2,es,en,SOURCES OF LIGHT,The phrase 'FUENTES DE LUZ' consists of nouns which need to be translated to the target language.
24,text-24-8,es,en,Challenged,The phrase 'Desafiaba a' in Spanish translates to 'Challenged' or 'Dared to' in English. It maintains the grammatical structure as a past tense verb phrase.
24,text-24-14,es,en,She loved running races.,The sentence contains a verb and a noun phrase which need to be translated accurately into English.
28,text-28-3,es,en,NATURAL,The word 'NATURAL' seems like a noun or an adjective and should be translated to the target language.
24,text-24-10,es,en,I won!!,"The word 'Gané' is the first person singular past tense of the verb 'ganar,' which means 'to win.' Therefore, the translation should be 'I won.'"
29,text-29-10,es,en,Remember to use bare arms and practice until you achieve it.,The text is an instruction or reminder to use bare arms and practice until it's accomplished. It should be translated into English while keeping the context intact.
24,text-24-11,es,en,And was not afraid to run against,"The sentence in Spanish needs to be translated into English, retaining the meaning of not being afraid to run against something or someone."
28,text-28-6,es,en,stars,The word 'estrellas' in Spanish is a noun that translates to 'stars' in English.
28,text-28-1,es,en,Complete the table with the words from the list.,"The sentence is a simple instruction for completing a task, and there are no nouns or mathematical symbols that require special treatment. Hence, the translation should accurately reflect the intent of the instruction in English."
24,text-24-17,es,en,23,The text '23' is a number and should be translated directly in terms of format but remains the same numerically.
24,text-24-13,es,en,Replace the highlighted pronouns with expressions or words that name the characters.,"The task is asking to replace highlighted pronouns with expressions or words that name characters, but according to the instructions, my task is only to translate the provided text into English without manipulating or addressing any specific actions on it."
28,text-28-4,es,en,Artificial,"In English, the word 'Artificial' means something that is made or produced by humans rather than occurring naturally. In Spanish, 'Artificial' is translated to 'Artificial'. They share the same spelling but are pronounced differently."
28,text-28-5,es,en,sun,The word 'sol' means 'sun' in Spanish.
24,text-24-15,es,en,She pouted when they told her she had to go to his house.,"The sentence describes a situation where someone, presumably a female ('Ella'), is making a pout ('pucheros') when told she has to go to his house ('la casa de él'). The translation needs to maintain the objects 'she' and 'his house' to convey the same relationships in English."
28,text-28-8,es,en,flashlight,"The word 'linterna' is a noun in Spanish, which translates to 'flashlight' in English. Translating nouns is important to maintain the meaning across languages."
28,text-28-9,es,en,fire,The word 'fuego' is a noun in Spanish meaning 'fire' in English. It should be translated to 'fire'.
26,text-26-0,es,en,THE TEXT ABOUT LIGHT AND SHADOW SAYS...,"The text is a noun phrase discussing 'light and shadow', and it should be translated directly into English maintaining the noun structure."
28,text-28-7,es,en,candle,The word 'vela' is a noun and should be translated to the target language.
24,text-24-16,es,en,"""He has some fabulous books,"" he said, who was the son of grandfather Enrique and had become sad with her words.","The sentence describes a conversation in which a character references some fabulous books, identifying 'él' as the son of 'abuelo Enrique', and explains his emotional reaction to 'ella's words. Each component of the sentence must be translated to retain the original meaning."
28,text-28-10,es,en,fireflies,"The word 'luciérnagas' is a noun and should be translated to its English equivalent, which is 'fireflies'."
28,text-28-0,es,en,Reread the article «La luz y la sombra».,"The phrase 'Relee el artículo «La luz y la sombra»' consists of a verb and a noun. The verb 'relee' is a command form meaning 'reread'. The phrase '«La luz y la sombra»' is the title of an article. In English, article titles are typically italicized or in quotes, so the title remains in those marks in translation. Proper nouns like titles are not translated. Therefore, the translated phrase will keep the title in its original form within the quotation marks."
26,text-26-1,es,en,Read the following statements.,"The sentence 'Lee los siguientes enunciados.' is a command in Spanish, instructing someone to read the following statements. This should be translated to English while maintaining the imperative form."
27,text-27-10,es,en,"There are other sources of light that are artificial, such as electric lamps or candles.","The sentence provides a list of artificial sources of light, namely electric lamps and candles, which need to be translated into the target language, ensuring that both nouns and the context are accurately conveyed."
28,text-28-12,es,en,electric lamp,The term 'lámpara eléctrica' consists of nouns describing a type of lamp. Both words are to be translated into English as 'electric lamp'.
26,text-26-2,es,en,Pay attention to the highlighted expressions.,"The phrase 'Presta atención a las expresiones destacadas' is an instruction to pay attention, translated to the imperative form in English. It's a general instruction phrase that can be directly translated."
24,text-24-4,es,en,I won!!,"The Spanish phrase '¡¡Gané!!' translates directly to 'I won!!' in English, capturing the excitement conveyed by the original punctuation."
28,text-28-11,es,en,rays,"The word 'rayos' is a noun in Spanish which can refer to 'rays' in English, depending on the context. However, without additional context, the most direct translation is simply 'rays'."
26,text-26-3,es,en,Mark the correct option.,"The phrase 'Marca la opción correcta.' translates directly as it is an instruction. 'Marca' is a command meaning 'Mark,' 'la opción' translates to 'the option,' and 'correcta' means 'correct.'"
30,text-30-0,es,en,Read this text carefully.,The instruction in Spanish tells the reader to 'Read carefully this text.' It is a simple imperative sentence that can be directly translated to English.
30,text-30-1,es,en,Cross out the words that are repeated.,The sentence is a simple instruction in imperative form to cross out repeated words.
26,text-26-6,es,en,It's the same as saying,The phrase 'Es lo mismo que decir' is a common expression in Spanish that translates directly to English.
28,text-28-15,es,en,FEATURES,The word 'CARACTERÍSTICAS' is a noun and should be translated to its English equivalent.
26,text-26-4,es,en,Then write on the dotted line how you can explain them in another way.,The given sentence asks to write something on a dotted line and then explain it in another way. The task is to translate this instruction from Spanish to English.
26,text-26-7,es,en,The Sun is the natural origin of the light and heat that exist on Earth.,"The text states that the Sun is the natural source of light and heat on Earth, and all terms are straightforward to translate to English, maintaining their nouns as they are."
28,text-28-14,es,en,Body Type,The phrase 'TIPO DE CUERPO' is in Spanish and it should be translated directly to English while considering that it refers to the classification or category of physical body form.
28,text-28-16,es,en,Examples,The word 'ejemplos' is a noun and should be translated to its English equivalent.
30,text-30-3,es,en,Chinese shadows are created by linking the fingers of the hands in different ways in front of a light source.,"The text describes how shadow puppets are created using hands and a light source, and all these words are perfectly translatable to English."
28,text-28-13,es,en,Complete the table that summarizes information about the topic.,The sentence is asking to complete a table summarizing information about a topic. The translation involves converting the Spanish words to their English equivalents while maintaining the instruction's intent.
28,text-28-17,es,en,opaque,"The word 'opaco' is an adjective in Spanish and translates directly to 'opaque' in English, which describes something not allowing light to pass through or hard to understand."
30,text-30-2,es,en,Chinese shadows are a very old and beautiful game.,The sentence is describing 'Las sombras chinescas' as a very old and beautiful game. The noun and descriptive adjectives should be translated accurately to convey the meaning in English.
26,text-26-5,es,en,The Sun is the natural source of light and heat for the Earth.,The sentence states that the Sun is the natural source of light and heat for the Earth. Each word maps directly to its English counterpart.
26,text-26-9,es,en,Opaque bodies do not allow the passage of light.,"The sentence describes a characteristic of opaque objects, so translating it with correct terminology is important."
26,text-26-10,es,en,It's the same as saying,"The phrase 'Es lo mismo que decir' is a common expression in Spanish that translates directly into English, maintaining the same phrase structure and meaning."
